Date,Reservoir 1 Level,Reservoir 2 Level,Generator Production (MWh),Discharge (m³),Load Shedding (MWh),Spillage (MWh),Bypass Water (MWh),Regulated Inflow (m³),Unregulated Inflow (m³),Penalty for Load Shedding,Penalty for Spillage,Penalty for Bypass
09/10/2025,17.36200425,11.25375349,52.70855841,130.9674124,7,3,2,2389,3075,86,19,11
10/10/2025,13.30242779,12.53612771,56.11527837,132.5433198,3,4,0,1596,2948,76,28,16
11/10/2025,19.06065886,16.42086507,56.50497333,109.9445851,7,1,2,1961,2611,97,16,10
12/10/2025,12.66675197,12.75536567,57.36406152,112.0156155,4,4,1,2138,2738,70,16,19
13/10/2025,17.24856499,14.94521125,48.28263029,132.9675152,3,0,0,2257,2643,96,22,19
14/10/2025,18.7764702,11.21695307,53.95728791,145.4863419,5,0,2,1586,2873,89,29,17
15/10/2025,10.41656818,15.88093638,45.36500718,149.1195277,1,3,2,2490,2519,98,15,19
16/10/2025,13.9764758,13.16077684,59.9867256,109.9015473,1,1,2,1576,3075,83,22,19
17/10/2025,17.62309032,16.26968435,43.50668483,106.7059811,1,1,1,2388,2788,86,25,11
18/10/2025,14.5491889,18.08394882,40.20228863,102.8200679,8,3,1,2215,3092,82,24,12
19/10/2025,12.6725263,16.11646419,42.97617429,143.4148509,9,0,2,1982,2696,98,25,17
20/10/2025,12.19805349,12.95747563,55.51744579,114.7357423,2,0,2,1645,2881,71,21,12
21/10/2025,11.31518267,12.55743702,48.93567353,100.0906017,9,0,0,2160,3080,96,21,10
22/10/2025,18.5712956,13.27420959,48.95000496,111.1909043,3,4,1,1610,3197,83,19,18
23/10/2025,15.75355403,11.64620513,59.10045839,117.022054,9,2,1,2140,3178,70,17,17
24/10/2025,10.76384945,11.81171851,58.39269816,149.5493085,7,0,0,2264,3216,98,21,13
25/10/2025,13.82580324,17.90691102,46.22389476,126.1770797,3,2,2,2177,2991,74,21,17
26/10/2025,13.67733651,13.84732577,44.18116258,110.2356974,9,2,2,1796,2663,76,21,14
27/10/2025,11.81739191,14.35995181,56.9696442,116.7409172,9,1,0,1925,3105,88,26,12
28/10/2025,14.35507625,15.94049466,58.12038142,116.5153844,6,3,2,2148,2748,83,29,10
29/10/2025,13.32099365,15.89653495,50.83193846,100.9862873,4,4,2,2290,2567,93,29,19
30/10/2025,13.41803705,10.67376872,52.58847422,106.7591527,8,2,0,1833,3354,83,25,14
31/10/2025,17.39026558,18.31540786,45.13828569,134.759823,3,4,0,2022,2520,84,16,15
01/11/2025,12.23263386,11.77326553,56.01605376,106.0125493,2,1,0,2082,3330,74,17,13
02/11/2025,16.41859959,17.23071636,52.64244857,111.5367138,1,0,2,2170,3011,74,17,16
03/11/2025,15.70649624,17.72670988,50.07027023,117.5368649,0,2,0,2227,3096,98,18,12
04/11/2025,15.68092512,17.14899534,41.20217112,137.8867472,5,3,2,2037,2889,90,26,16
05/11/2025,16.63007346,15.78977647,58.31869925,129.1200482,9,1,1,2297,3035,93,23,10
06/11/2025,15.48382036,10.14608997,52.30902841,134.4499992,1,4,1,1661,2610,71,24,16
07/11/2025,18.79255115,13.60375492,43.85382189,128.3506163,7,0,0,1929,3448,87,29,10
08/11/2025,16.75580092,16.04839429,52.12772234,134.1796213,5,4,2,2113,3362,99,15,10
09/11/2025,15.46963251,13.87451296,53.54926708,100.1421077,4,3,2,1568,3094,97,29,11
10/11/2025,18.2976312,18.63479895,50.51540673,146.5449072,1,2,2,1632,3369,93,29,11
11/11/2025,16.06146565,13.08802275,54.36203476,105.5460115,6,3,0,1688,2959,78,26,13
12/11/2025,12.91144248,12.93534792,51.62907896,120.3124548,1,4,2,2222,2577,96,21,10
13/11/2025,12.07094918,12.65997693,58.95539164,138.5519185,4,4,2,2254,2933,97,21,13
14/11/2025,11.52327786,13.32780869,41.07394157,121.7615359,1,3,2,2177,2879,79,25,11
15/11/2025,18.99455213,15.57404964,42.12491417,147.3421276,9,3,1,2423,3151,95,18,13
16/11/2025,17.10135432,17.07015294,43.47343274,123.3794474,1,3,2,2421,2939,87,27,13
17/11/2025,19.37378438,16.62567918,53.80342141,143.7469703,6,0,1,2072,3387,73,25,18
18/11/2025,16.03291806,18.0771782,52.91191745,140.5414057,8,4,2,2373,3282,77,15,18
19/11/2025,14.73400881,18.85913995,57.8411772,149.0493151,4,1,2,1778,2838,87,17,10
20/11/2025,10.59716489,18.16079042,54.65754906,146.327389,6,0,2,1929,3487,89,19,14
21/11/2025,16.71642282,10.18945403,50.16710975,144.9061917,3,0,1,2124,2923,95,26,16
22/11/2025,15.8220876,17.35917954,59.83663585,136.580217,1,0,2,2041,2668,98,16,13
23/11/2025,19.90208894,12.08399574,45.32215912,118.3499074,2,1,0,2334,3208,98,21,14
24/11/2025,12.39158778,11.32928043,56.6638332,105.3062709,1,3,2,2487,3464,86,28,11
25/11/2025,15.30737355,16.38488785,48.53580744,134.4322526,4,4,1,1660,2761,85,24,12
26/11/2025,16.50957335,13.19743195,52.97470278,148.9327041,5,2,1,2245,3226,87,24,16
27/11/2025,16.44591175,10.57117163,54.54536941,136.3302219,6,2,0,2398,3078,76,21,19
28/11/2025,15.61293543,11.37629734,52.67508174,146.4364685,2,4,0,1952,2728,70,26,16
29/11/2025,17.7692801,10.00929417,42.81014606,140.2152356,3,1,0,2388,2660,97,24,13
30/11/2025,12.0498121,19.03223627,48.85902021,108.1557338,7,2,1,2350,2926,70,19,10
01/12/2025,17.256272,10.24617984,51.22876756,112.4601885,3,0,2,1669,2621,87,29,10
02/12/2025,16.19734571,12.0945577,56.98087518,117.0932801,6,2,2,2329,2648,73,26,13
03/12/2025,18.96075112,14.16262781,48.87291498,108.4130222,5,4,0,2197,3351,92,24,13
04/12/2025,18.47194439,13.56571326,58.3749461,129.0825666,6,0,0,1556,3204,89,29,15
05/12/2025,13.15147039,19.11725877,48.80748446,148.7725262,0,2,2,1739,3242,90,20,16
06/12/2025,12.76237325,10.40288946,50.97559719,138.0729417,2,4,0,2268,2610,89,15,18
07/12/2025,19.81653324,15.12214708,55.92571366,121.1693375,5,1,2,1857,3156,73,18,18
08/12/2025,15.27265181,16.80479463,51.66135369,100.225224,2,4,2,1700,2720,94,18,19
09/12/2025,19.06420964,19.31697974,59.20436145,115.6638006,6,1,2,1943,3403,75,25,14
10/12/2025,11.63881024,16.20371252,53.20671661,126.3379644,8,0,2,2336,2563,97,22,19
11/12/2025,16.42818915,18.03755236,50.45418908,116.2125437,2,4,1,2326,3137,72,29,12
12/12/2025,18.09860187,10.83724938,40.47183936,105.5517462,0,3,2,1801,3229,75,16,12
13/12/2025,19.4739525,13.85939511,48.27465795,122.1382478,9,3,0,1605,3295,82,15,15
14/12/2025,13.37340141,13.73947134,45.98496839,112.6626408,5,3,0,2301,2853,92,21,10
15/12/2025,17.2498117,18.86288216,54.96211336,145.4616188,0,3,0,1600,2973,76,20,16
16/12/2025,15.38813009,11.51371171,44.1655535,105.0877264,0,3,0,1596,3408,93,19,12
17/12/2025,10.60628926,11.51886172,44.10440175,102.4576314,7,1,1,2164,3247,98,26,14
18/12/2025,16.89999737,13.2855815,43.79038086,100.2657085,8,4,2,2437,2984,73,27,16
19/12/2025,16.90096558,10.54466047,42.51231226,116.4034842,1,0,2,1528,2512,70,27,16
20/12/2025,19.30606805,11.82458041,46.22014007,133.0193419,8,3,0,2005,3433,75,27,18
21/12/2025,14.97312446,19.65209639,57.71844229,136.5206876,4,3,0,2164,2652,93,22,10
22/12/2025,12.30250921,14.2818394,55.49856945,122.6630842,7,0,0,1937,2738,74,25,12
23/12/2025,10.44563823,16.32019208,54.70502433,134.2164325,6,0,2,1878,2689,82,29,18
24/12/2025,14.15642187,17.26111259,55.94673611,117.9957018,6,3,1,1572,3162,88,27,17
25/12/2025,13.019167,13.66961407,45.38835779,133.390311,3,1,1,1753,2585,73,16,11
26/12/2025,17.61088306,11.47227074,57.74883382,102.0297993,1,0,1,2462,2520,93,16,17
27/12/2025,13.54267765,12.06581016,42.7460675,119.5376492,4,4,1,2410,3193,75,23,17
28/12/2025,19.49071196,13.13266477,46.72691453,139.5424839,2,4,0,2015,2818,82,15,11
29/12/2025,19.62310203,16.3606842,51.73496238,140.1503015,8,1,2,2248,2657,98,20,17
30/12/2025,16.2090859,13.98280549,42.05810177,135.8074389,5,2,0,2049,3470,74,27,12
31/12/2025,19.28660287,10.06814698,54.60260376,110.211931,0,1,1,1519,3463,82,27,16
01/01/2026,17.60854345,15.23407185,47.74492096,112.3602559,2,3,0,2124,2980,94,17,18
02/01/2026,15.46859641,19.21513392,55.68811331,149.8044364,3,2,1,2034,3378,79,29,13
03/01/2026,11.80307935,18.12077611,49.85792571,105.1689004,8,3,2,1920,2575,72,27,15
04/01/2026,14.58597944,18.25211371,43.61749049,109.0331349,5,4,1,1945,2828,92,19,18
05/01/2026,15.60874463,17.95058018,54.69523623,106.5013128,3,0,0,2378,2915,94,22,14
06/01/2026,18.63961581,13.23730826,45.04287912,116.3827482,0,3,2,1635,2702,96,21,10
07/01/2026,14.81333377,17.65193834,49.81620603,110.5087918,7,4,1,2004,2728,82,27,12
08/01/2026,18.97674673,11.43161358,41.51066538,124.884398,1,1,1,2432,2651,96,26,18
09/01/2026,16.74348979,16.57716147,52.35733309,123.8010353,7,3,2,2259,3274,81,18,12
10/01/2026,11.36999063,16.41568567,53.31715532,145.075281,5,4,0,1800,2571,73,22,19
11/01/2026,19.94981369,10.25569799,47.5734842,101.7369974,7,0,2,2108,2724,79,25,11
12/01/2026,15.27232661,17.87970134,59.08845561,115.9939788,5,3,0,1532,2972,95,25,13
13/01/2026,13.91858296,19.03248105,57.48337843,129.8328946,4,4,1,2146,3396,72,24,14
14/01/2026,16.59113764,12.67415278,54.15881831,130.2400881,4,3,1,2266,3142,86,25,16
15/01/2026,11.08893314,18.12390724,54.27304149,124.0063115,9,0,2,1777,2859,78,28,16
16/01/2026,16.36538647,10.82405972,45.0480343,140.783277,9,3,1,1632,3039,98,16,18
17/01/2026,14.98236,15.99967858,53.13630462,103.1361086,7,3,2,2249,3310,70,21,17
18/01/2026,14.0667407,14.85646865,43.9641253,140.7743883,6,4,1,2026,3108,87,19,11
19/01/2026,19.53020021,15.45923533,42.88006448,124.737712,7,2,1,2288,2545,78,25,17
20/01/2026,15.22539717,19.26205202,59.98935788,106.6880348,7,3,0,1625,2500,90,20,17
21/01/2026,12.19117479,18.71315247,52.44751863,144.2850957,6,2,2,1844,3177,89,17,14
22/01/2026,14.58963479,17.85083657,48.61975745,132.461439,1,1,2,1516,2744,94,25,12
23/01/2026,19.19387405,12.73698458,45.76329046,108.1772843,8,3,1,2323,2718,78,24,18
24/01/2026,11.76095471,19.11818629,52.07840887,101.6824862,6,2,0,2061,3113,71,21,16
25/01/2026,12.13957039,10.97507692,40.99187016,107.0554824,5,1,0,2146,2790,88,21,10
26/01/2026,10.13029568,18.53329217,41.89361981,130.439898,8,4,2,2129,2957,97,16,17
27/01/2026,10.14190049,13.28160072,40.65713395,108.9648118,0,3,2,1877,2703,85,15,19
28/01/2026,18.29391627,10.53772312,49.98339667,111.2881537,1,4,1,2317,2701,72,24,14
29/01/2026,17.32122607,16.69356984,52.01213258,101.2569863,0,1,2,1559,3065,85,16,15
30/01/2026,13.55041056,12.31279928,41.24959523,136.1465336,9,4,1,2136,2981,90,26,18
31/01/2026,16.98311157,12.43571126,54.42448935,140.51822,2,4,0,1966,3291,82,22,19
01/02/2026,13.95205926,13.06047166,44.60790143,139.8424088,4,0,2,2127,3010,72,25,17
02/02/2026,19.52896796,10.63684768,53.70402908,106.3784076,0,1,0,1890,3423,79,24,12
03/02/2026,19.67052681,11.77127144,59.6379428,145.1650564,3,4,0,2435,2777,91,17,14
04/02/2026,13.92793776,10.05139628,53.8221174,133.6139415,7,2,1,2184,2515,87,25,13
05/02/2026,18.54221906,14.45409521,57.66386106,144.8764311,5,1,0,1686,3024,75,18,10
06/02/2026,17.73089042,10.84255377,58.96397013,122.3580252,0,0,1,1997,2855,75,22,14
07/02/2026,13.09999937,16.82652605,49.73502097,121.8477431,0,3,1,2099,2855,87,17,19
08/02/2026,12.32039829,12.35622851,54.04649959,139.2268259,2,4,0,2214,3329,75,20,16
09/02/2026,14.5823465,19.43574144,57.03938507,104.6648928,9,2,0,1860,3438,75,16,10
10/02/2026,17.81348841,18.71251627,47.13217826,126.0437018,7,0,1,2322,3098,91,17,13
11/02/2026,19.60167785,12.89440895,45.22794633,141.8192118,7,1,1,2331,2577,97,15,15
12/02/2026,17.63579069,17.83215455,58.93197146,141.5096282,2,4,0,1948,3427,82,23,18
13/02/2026,18.55206985,18.03244905,54.52607001,147.8066428,6,0,1,2193,2566,83,18,17
14/02/2026,16.03064306,19.86563114,44.39364267,134.9136297,2,0,1,2363,3358,90,20,11
15/02/2026,18.35407831,15.97839987,48.98166785,110.3885315,3,2,2,2179,3222,76,29,12
16/02/2026,17.84420858,10.81965735,55.92903539,101.0140157,8,3,2,1680,2713,82,21,19
17/02/2026,13.76985542,16.46837229,50.94125982,123.9707899,3,3,2,2311,3196,84,16,14
18/02/2026,15.51990302,16.24979748,52.99904196,125.6851933,2,3,2,2458,2948,81,22,16
19/02/2026,18.04753122,16.38350577,55.07536404,112.0131292,4,1,2,1629,3464,90,26,12
20/02/2026,10.46056734,13.07145648,52.44018378,106.2348724,6,0,1,2474,2932,96,23,16
21/02/2026,18.08079282,18.59679585,50.80158644,129.3104083,4,1,1,1648,3044,70,28,14
22/02/2026,11.77888124,19.59472183,54.99228569,138.2127837,3,0,2,1971,2614,97,24,19
23/02/2026,15.14683617,12.17712513,54.55126071,149.6577052,7,2,0,2317,3286,94,25,15
24/02/2026,18.0827544,10.88152158,52.597448,137.9151309,3,2,2,2220,2919,72,16,15
25/02/2026,12.53821078,11.94535033,47.19578827,139.6816207,1,1,0,2122,2998,87,19,13
26/02/2026,12.45807439,18.20552139,48.11624184,130.8230439,9,1,1,2447,3209,95,16,17
27/02/2026,14.02764398,16.76644635,59.40877098,149.2961329,5,2,0,1999,2879,91,25,18
28/02/2026,18.94642798,16.36047342,42.24771865,131.9978193,1,4,1,2148,2642,77,19,11
01/03/2026,10.00442781,14.01793135,45.37009835,143.0126643,2,3,0,1854,3239,71,21,18
02/03/2026,19.01383097,15.77827972,49.84803518,147.2892323,0,3,1,2415,3131,73,20,13
03/03/2026,11.53807025,13.07874125,56.73459372,146.492925,4,2,1,1710,3364,87,18,15
04/03/2026,19.90086376,14.77200079,43.27351327,119.0707672,8,3,2,2157,2523,97,28,16
05/03/2026,19.54846993,17.93063028,45.53909236,103.9331029,1,4,1,2095,3038,97,16,13
06/03/2026,14.9467519,19.81241597,41.31596436,108.5936851,6,4,2,1529,3444,94,21,17
07/03/2026,15.12720248,19.32488924,54.11970532,102.9611653,4,0,2,2499,2574,95,26,19
08/03/2026,14.8154934,19.33865943,44.76418871,105.2698467,1,1,2,2076,3252,82,24,17
09/03/2026,16.35443646,14.02223735,47.77349501,109.2325623,7,3,0,1523,3034,84,23,10
10/03/2026,10.90721702,14.68789881,48.87402894,117.0547158,5,4,0,2483,3172,71,15,17
11/03/2026,10.32617948,17.05635396,57.82627871,127.1769823,3,1,1,2442,2540,79,17,19
12/03/2026,10.57702928,19.22191928,48.22660581,135.584103,3,1,2,2222,3249,71,21,12
13/03/2026,14.44365349,11.41994259,42.9045004,110.5463668,1,0,2,1721,3250,99,29,14
14/03/2026,12.75547939,13.04241864,50.48629877,133.6261202,2,1,1,2101,3067,98,28,19
15/03/2026,16.22039562,11.39246845,59.25915989,135.2129537,6,1,2,2117,2912,90,23,17
16/03/2026,19.92442289,16.1200853,52.15371282,127.9311168,2,2,1,2183,2914,81,27,15
17/03/2026,13.86323173,13.06300997,59.66774441,145.1808935,4,0,2,2241,2948,74,19,13
18/03/2026,15.73841254,13.26107853,56.82214618,105.5497407,9,0,0,2424,3109,81,21,13
19/03/2026,14.15603896,10.70915959,40.71931512,108.8560729,5,3,1,2088,3157,92,29,13
20/03/2026,18.47271668,13.49796062,53.16799191,121.4332412,5,1,1,2079,3477,70,24,15
21/03/2026,19.02236403,18.62496507,45.73533755,106.3356368,3,3,0,2376,3273,97,21,16
22/03/2026,18.77355612,12.33072812,51.19233711,128.3148072,5,4,1,1900,2935,71,18,14
23/03/2026,19.74372239,16.95187466,45.58690382,119.9200233,2,1,0,2364,3051,96,19,19
24/03/2026,10.27519185,16.29628345,46.97740833,114.2297897,6,4,2,2400,3204,85,16,17
25/03/2026,18.39816162,18.63484608,58.46337424,108.4994907,6,2,0,2103,2738,96,22,16
26/03/2026,17.51772173,11.32287948,44.1328637,116.7669119,3,1,0,2011,2541,91,26,17
27/03/2026,12.28694409,19.7758996,57.48218236,130.3979675,1,3,1,1587,3233,71,29,13
28/03/2026,19.56320093,15.82628646,40.60915616,128.7892605,6,3,2,1964,3207,85,29,17
29/03/2026,11.48177928,19.95474152,41.81753077,108.1812,2,1,0,1549,3299,89,15,15
30/03/2026,16.79549927,19.11514726,57.09350083,106.2459905,0,3,2,1602,2509,95,16,12
31/03/2026,12.24890217,12.21517272,52.61112062,101.3338381,1,1,0,1867,3246,85,26,17
01/04/2026,14.31380649,10.5616201,54.94472276,100.6212797,9,0,1,2435,3336,75,17,16
02/04/2026,17.19159897,12.55639094,44.18835342,143.9905218,8,3,0,1991,2764,82,21,19
03/04/2026,15.63324642,15.27563649,50.74166911,102.2544428,7,1,0,2057,3080,81,20,14
04/04/2026,14.27501831,11.71596367,54.74438447,136.5610555,5,1,2,2190,2944,92,28,13
05/04/2026,13.26338431,11.67459745,52.54628274,143.5992548,5,3,0,2278,2638,79,21,10
06/04/2026,18.39659656,14.62593547,49.43397534,104.9028924,0,0,1,1767,3366,74,25,19
07/04/2026,11.4381435,10.33267971,59.19567573,121.8150712,1,3,1,1896,3230,77,19,12
08/04/2026,14.30102877,11.21888083,53.52314667,148.1151492,3,1,0,1819,2695,75,28,11
09/04/2026,19.03757572,14.15861339,58.155016,141.706933,2,0,0,2019,2573,74,18,17
10/04/2026,18.4584955,10.63129909,54.59541023,124.4852016,0,4,2,1948,3114,89,29,17
11/04/2026,14.00941762,13.96755056,54.70927057,138.1285556,7,2,2,2276,2724,91,29,14
12/04/2026,17.63108364,14.74006266,41.6003654,141.6688812,6,3,1,1975,3134,75,21,14
13/04/2026,18.23160831,14.51266614,47.18929244,117.4013482,3,1,2,2397,2601,91,17,13
14/04/2026,18.88887424,18.69174857,57.16738813,144.6076458,8,0,0,2089,2763,86,27,10
15/04/2026,15.44505769,15.30062455,44.65207724,123.523666,3,0,1,2408,3444,75,24,10
16/04/2026,12.04460886,14.67980462,42.31011732,126.3903682,0,4,2,1739,3419,86,21,15
17/04/2026,12.55309077,14.10709245,46.52212113,149.9853819,9,3,1,1757,3498,74,16,13
18/04/2026,12.95694674,18.17623378,44.4087577,142.1651483,0,0,0,2207,2660,92,26,13
19/04/2026,15.93802481,18.95056604,58.5057639,118.0885003,0,4,2,2471,2732,86,26,12
20/04/2026,10.32809624,18.53242469,57.35933284,100.5172798,0,1,0,2443,2990,98,22,18
21/04/2026,16.36042469,16.73546578,49.99366461,131.3087037,3,4,0,2341,3286,86,26,12
22/04/2026,13.64354238,11.37361746,41.22687749,135.1956713,0,3,1,2142,3269,98,20,17
23/04/2026,12.95241802,12.76869969,54.29124692,132.5401345,1,4,1,2463,2810,82,26,11
24/04/2026,18.79496571,10.46063064,52.46823463,148.3931176,3,0,1,1889,3150,91,29,13
25/04/2026,14.60002396,19.30824075,59.41109341,143.1485514,6,0,2,1842,2726,76,17,10
26/04/2026,10.95053046,16.6079853,51.17906481,122.4415847,1,2,2,2272,2772,91,17,14
27/04/2026,18.26746768,17.46362884,46.72787447,103.1428744,7,4,1,2253,3437,90,19,11
28/04/2026,10.47641257,13.1157174,50.38043387,123.8029385,6,1,2,1886,2816,75,17,10
29/04/2026,17.26749224,18.45653522,59.58526583,134.462201,8,3,2,1893,3398,98,20,10
30/04/2026,17.73906222,12.59603284,53.92724865,130.3854904,5,2,1,2182,2585,83,16,11
01/05/2026,13.52602606,10.01643757,53.43952276,126.9068534,3,4,0,2158,2790,85,22,14
02/05/2026,18.24787856,13.76414963,44.81363179,123.4409479,5,1,2,1769,2968,72,27,18
03/05/2026,15.15659406,15.70761481,54.87205035,114.6880937,3,2,2,1648,3228,78,25,15
04/05/2026,14.63293653,14.78704858,55.00543659,113.8673381,6,0,0,1879,3370,84,26,13
05/05/2026,10.45403281,18.62076143,46.34577968,125.0115739,8,3,0,2310,3077,90,25,12
06/05/2026,12.90029194,11.05405286,49.67427665,108.0301573,2,4,0,1527,3268,87,23,17
07/05/2026,19.31009971,15.53823441,45.89206666,117.0342712,2,1,1,1648,3146,99,27,12
08/05/2026,13.91823963,15.1297935,45.17410141,116.1989637,1,0,0,1919,2903,99,29,10
09/05/2026,15.46700521,12.81392982,40.5179214,129.3566401,0,2,1,1779,2926,97,21,13
10/05/2026,15.32021679,18.22228113,45.70423489,103.334115,0,3,0,1681,2874,79,28,14
11/05/2026,15.9043109,17.52848656,51.079399,141.483434,2,2,0,1665,3401,79,17,14
12/05/2026,10.61330956,17.32859187,40.03202375,128.118919,6,2,1,1516,3066,92,25,14
13/05/2026,13.62176255,18.76192478,45.66438168,133.541334,8,1,1,1649,3367,72,28,17
14/05/2026,17.23128274,17.22784601,57.62820665,135.1546952,1,0,0,1838,3254,70,24,17
15/05/2026,12.00560251,12.31841292,51.8729717,114.5742068,6,4,0,1544,2751,72,18,13
16/05/2026,12.03578378,17.05562712,52.15725648,123.5185784,0,1,0,2001,3032,94,26,18
17/05/2026,10.10090607,13.07702813,48.0672861,147.8122978,1,3,2,2341,2806,74,24,10
18/05/2026,14.37481927,12.4217465,53.52944287,138.3352619,5,2,0,1688,2929,76,16,14
19/05/2026,18.82734381,10.73003593,43.79865532,148.4778438,4,3,1,2150,3174,72,23,14
20/05/2026,10.51900944,17.4402858,56.37493621,137.3127173,7,1,2,1560,3367,73,28,14
21/05/2026,11.91118709,17.11000962,42.3337824,108.780007,1,1,1,1793,2763,86,19,17
22/05/2026,13.10084538,12.34499478,53.12002709,103.2267942,0,4,2,2333,2567,72,26,18
23/05/2026,17.31724737,17.49379017,46.82298652,128.8830718,6,2,2,1532,2606,92,16,12
24/05/2026,16.40635593,19.17840883,54.95025941,117.890664,5,1,1,1798,2899,73,24,18
25/05/2026,14.15943905,11.08028957,50.99529103,113.7728955,7,3,2,1914,3078,71,20,17
26/05/2026,17.59068939,12.32636638,49.04706077,140.3605498,7,4,1,2123,2698,83,21,12
27/05/2026,16.09631012,17.50260794,43.38844804,118.3496634,1,3,0,2302,2691,74,27,11
28/05/2026,18.960408,12.74506674,52.73642929,115.8500485,7,2,2,2048,3013,90,16,13
29/05/2026,18.18026749,16.24663974,59.49539687,142.4993797,5,4,1,1930,3268,71,29,11
30/05/2026,12.52813606,10.81164224,56.5120685,142.3143668,8,4,2,1994,2941,84,15,13
31/05/2026,12.71438578,14.52202479,41.20016385,117.8183319,6,4,1,1599,2500,80,27,14
01/06/2026,11.25356476,17.39091422,47.52458757,141.624935,1,0,0,1522,2857,91,21,11
02/06/2026,13.36964726,16.86513943,58.51166018,142.5389245,7,4,0,1919,2614,79,15,17
03/06/2026,19.99543919,18.15072101,50.06087495,121.1965268,8,3,2,1923,3402,89,17,10
04/06/2026,14.05751169,18.77452127,53.24223652,103.3236565,6,3,2,1986,3099,99,18,12
05/06/2026,12.20488435,17.73183501,58.25198691,100.0792322,3,2,1,2229,2696,70,16,16
06/06/2026,17.62482884,16.71587743,57.47589381,126.1646231,8,1,1,1588,3480,88,21,19
07/06/2026,15.42471003,10.31722492,50.03640751,117.2037747,3,1,2,1708,3103,83,19,10
08/06/2026,11.4960145,15.34966673,48.75292605,149.8565947,3,0,1,1770,2773,94,15,11
09/06/2026,13.80689681,10.37697725,46.79385237,138.62055,8,4,1,2432,3355,95,26,12
10/06/2026,14.14469716,18.08067817,54.38038886,138.0637728,7,0,1,2248,2659,92,26,11
11/06/2026,17.53829701,13.20724524,45.73973599,147.7621384,3,2,2,2399,2672,98,22,11
12/06/2026,10.20671369,15.62429374,44.99775213,144.3862199,7,2,0,1905,3044,91,24,15
13/06/2026,12.69019647,12.79445307,47.12499789,115.909374,7,1,0,2220,2957,83,21,16
14/06/2026,15.17596301,17.82500144,43.54430114,108.2993611,6,2,1,1777,3084,70,18,15
15/06/2026,12.68846742,18.86502527,53.90239632,137.2946133,9,4,2,2476,2932,94,16,15
16/06/2026,16.28434047,13.98642494,52.32481299,118.9136947,5,3,1,1705,3428,98,29,18
17/06/2026,14.81867479,18.62922394,49.65757068,123.6586326,7,2,0,2089,2980,78,21,17
18/06/2026,13.61710255,12.67075007,47.80651559,131.5198866,6,0,1,2412,2954,86,25,17
19/06/2026,19.49208627,15.34660923,58.18125086,145.3936338,4,4,0,1827,2695,83,16,15
20/06/2026,16.32159499,18.5876143,40.5824757,120.9543877,3,2,2,2109,3295,82,20,14
21/06/2026,11.29941372,13.25881343,55.38215487,139.1658445,1,2,1,2357,3098,82,15,18
22/06/2026,15.60091697,19.54042265,58.03819143,113.4169896,7,4,2,2376,2808,75,28,11
23/06/2026,17.80731853,11.21879502,48.92709159,134.8985895,8,2,1,2361,3235,76,21,16
24/06/2026,17.08489697,10.1827507,51.01380983,100.0789711,3,3,1,2481,3055,71,21,15
25/06/2026,11.72089229,19.04135353,58.88927376,143.5753607,3,1,1,1835,3347,95,26,16
26/06/2026,19.72419999,10.68648666,44.24555031,101.518979,4,4,1,2105,2993,77,18,13
27/06/2026,14.48813646,19.91889196,50.40269696,135.6376877,1,0,1,2091,2938,93,18,18
28/06/2026,11.59025004,19.51396862,49.49442254,102.3129095,6,2,2,1537,3149,75,29,16
29/06/2026,11.80195754,11.3702091,45.16785296,113.312285,4,1,2,2419,3281,94,24,11
30/06/2026,10.98234992,15.37584626,56.37186461,124.8601202,5,0,0,1727,2858,72,19,13
01/07/2026,18.03518108,11.84920297,57.9920119,120.9969343,3,0,1,1982,2535,87,16,14
02/07/2026,11.22030494,14.28155173,55.6386516,109.5918057,7,3,0,1633,2533,87,23,11
03/07/2026,11.25125257,10.61425129,43.90717922,116.6907456,7,1,2,2207,2587,91,24,19
04/07/2026,18.50471615,12.23924588,41.73497271,136.3853185,4,4,0,2477,3157,92,18,17
05/07/2026,13.44604084,13.63272796,52.10888971,133.4628546,5,1,2,1889,2515,75,25,10
06/07/2026,10.30857904,14.386475,41.14189521,103.5907292,2,1,1,2293,3244,80,23,12
07/07/2026,10.518953,19.77496258,53.45651777,137.3657913,0,0,0,2112,2920,72,28,10
08/07/2026,11.42170447,18.07865646,50.60848441,102.6522941,8,3,0,2486,3052,85,17,14
09/07/2026,12.13393348,17.37409944,53.25571465,127.1463195,8,3,0,1924,3266,74,23,17
10/07/2026,16.65146194,15.37041315,51.80341547,113.0031374,2,1,0,2086,3292,93,15,16
11/07/2026,11.5732628,18.39997761,48.45405139,129.3845064,3,1,1,2305,2625,91,21,18
12/07/2026,11.18874391,13.39322836,44.0175436,113.0664198,6,2,2,2009,2507,71,18,11
13/07/2026,17.64719141,17.08899113,46.11404272,149.2478985,1,0,2,2219,2971,84,21,17
14/07/2026,16.71055284,19.93783975,50.49001148,115.4864092,2,4,1,2094,2967,85,28,17
15/07/2026,14.35324221,13.14628909,53.03736187,112.0980318,5,4,2,1926,3379,76,24,15
16/07/2026,15.49309771,16.74017535,55.58966034,113.9232645,7,3,0,2448,3361,85,29,12
17/07/2026,13.1198402,18.44314864,55.34341437,144.8236429,0,0,1,2154,3351,93,20,11
18/07/2026,14.8250042,19.15807583,59.45377487,131.8109414,3,3,2,1973,3009,73,18,17
